PPG,ECTS,Naziv,Sifra,TipSP,VrstaSP,Izvodjac,Nositelj,Trajanje,IzvodjacMjesto,JezikIzvođenja,NacinIzvođenja,Akademski_stupanj,Vrsta_ustanove_nositelja
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,120,Migracije i interkulturalni odnosi,1828,sveučilišni,diplomski sveučilišni studij,"Filozofski fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra migracijskih studija i interkulturalnih odnosa,Javno
3.06  BIOMEDICINA I ZDRAVSTVO / Farmacija,60,Molekularna dijagnostika,1830,sveučilišni,poslijediplomski specijalistički studiji,"Farmaceutsko-biokemijski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra molekularne dijagnostike,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),120,Poslovno upravljanje u agrobiznisu - MBA,1831,sveučilišni,poslijediplomski specijalistički studiji,"Agronomski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,engleski jezik; hrvatski jezik,klasično,sveučilišni/a specijalist/ica poslovnog upravljanja u agrobiznisu - MBA,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),180,Primijenjena ekologija u poljoprivredi,1832,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Zadru,Sveučilište u Zadru,3,ZADAR,hrvatski jezik,klasično,sveučilišni prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka primijenjene ekologije u poljoprivrdi,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,Financije i poslovno pravo,1833,stručni,preddiplomski stručni studij,"EFFECTUS poduzetnički studiji - visoko učilište, Zagreb","EFFECTUS poduzetnički studiji - visoko učilište, Zagreb",3,ZAGREB,hrvatski jezik,klasično,stručni/a prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) ekonomije,Privatno 
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,Poduzetništvo i inovativnost,1835,sveučilišni,poslijediplomski sveučilišni studiji,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,"doktor/doktorica znanosti, područje društvenih znanosti, polje ekonomija",Javno
2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport,180,Inspekcijski i kadrovski menadžment u pomorstvu,1836,stručni,preddiplomski stručni studij,"Visoka škola za inspekcijski i kadrovski menadžment, Split","Visoka škola za inspekcijski i kadrovski menadžment, Split",3,SPLIT,hrvatski jezik,klasično,stručni/a prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) inženjer/ inženjerka inspekcijskog i kadrovskog menadžmenta u pomorstvu,Privatno 
2.04.  TEHNIČKE ZNANOSTI / Geodezija,180,Geodezija i geoinformatika,1837,sveučilišni,preddiplomski sveučilišni studij,"Fakultet građevinarstva, arhitekture i geodezije, Split",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) inženjer/ inženjerka geodezije i geoinformatike,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,Operativni menadžment,1839,stručni,preddiplomski stručni studij,Veleučilište Hrvatsko zagorje Krapina,Veleučilište Hrvatsko zagorje Krapina,3,KRAPINA,hrvatski jezik,klasično,stručni/a prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) menadžmeta,Javno
"8.05  INTERDISCIPLINARNA PODRUČJA ZNANOSTI / Obrazovne znanosti (prirodne, tehničke,biomedicina i zdravstvo,biotehničke,društvene,humanističke znanosti)",180,Rani i predškolski odgoj i obrazovanje,1840,sveučilišni,preddiplomski sveučilišni studij,"Fakultet za odgojne i obrazovne znanosti, Osijek ",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ranog i predškolskog odgoja i obrazovanja,Javno
8.05.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI / Obrazovne znanosti,120,Rani i predškolski odgoj i obrazovanje,1841,sveučilišni,diplomski sveučilišni studij,"Fakultet za odgojne i obrazovne znanosti, Osijek ",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,magistar/magistra ranog i predškolskog odgoja i obrazovanja,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),120,"Voćarstvo, vinogradarstvo i vinarstvo; smjerovi: Voćarstvo, Vinogradarstvo",1842,sveučilišni,diplomski sveučilišni studij,"Fakultet agrobiotehničkih znanosti, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,"magistar/ magistra inženjer/inženjerka voćarstva, vinogradarstva i vinarstva",Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,180,Medicinsko laboratorijska dijagnostika,1843,sveučilišni,preddiplomski sveučilišni studij,"Medicinski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,sveučilišni prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) medicinsko laboratorijske dijagnostike,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,180,Sestrinstvo,1844,sveučilišni,preddiplomski sveučilišni studij,"Fakultet za dentalnu medicinu i zdravstvo, Osijek ",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,sveučilišni prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) sestrinstva,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,120,Sestrinstvo,1845,sveučilišni,diplomski sveučilišni studij,"Fakultet za dentalnu medicinu i zdravstvo, Osijek ",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,magistar/ magistra sestrinstva,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),120,Povrćarstvo i cvjećarstvo,1847,sveučilišni,diplomski sveučilišni studij,"Fakultet agrobiotehničkih znanosti, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,magistar/ magistra inženjer/ inženjerka povrćarstva i cvjećarstva,Javno
,120,"Poslovno upravljanje-MBA; smjerovi: Menadžment financija, Porezi i poslovno pravo, Menadžment ljudskih potencijala i znanja, Kreativnost, inovativnost i analitički menadžment",1852,stručni,specijalistički diplomski stručni studij,"EFFECTUS poduzetnički studiji - visoko učilište, Zagreb","EFFECTUS poduzetnički studiji - visoko učilište, Zagreb",2,ZAGREB,hrvatski jezik,klasično,,Privatno 
2.09.  TEHNIČKE ZNANOSTI / Računarstvo,60,Informacijska sigurnost,1853,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet elektrotehnike i računarstva, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica informacijske sigurnosti,Javno
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,60,Reguliranje tržišta elektroničkih komunikacija,1854,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet elektrotehnike i računarstva, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,zajednički studij,sveučilišni/ a specijalist/ specijalistica regulacije tržišta elektroničkih komunikacija  ,Javno
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,60,Reguliranje tržišta elektroničkih komunikacija,1854,sveučilišni,poslijediplomski specijalistički studiji,Sveučilište u Zagrebu,Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,zajednički studij,sveučilišni/ a specijalist/ specijalistica regulacije tržišta elektroničkih komunikacija  ,Javno
"8.05  INTERDISCIPLINARNA PODRUČJA ZNANOSTI / Obrazovne znanosti (prirodne, tehničke,biomedicina i zdravstvo,biotehničke,društvene,humanističke znanosti)",180,Rani i predškolski odgoj i obrazovanje,1857,sveučilišni,preddiplomski sveučilišni studij,"Učiteljski fakultet, Rijeka",Sveučilište u Rijeci,3,RIJEKA,hrvatski jezik,klasično,sveučililšni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ranog i predškolskog odgoja i obrazovanja ,Javno
5.02.  DRUŠTVENE ZNANOSTI / Pravo,60,Pravo europskih integracija,1858,sveučilišni,poslijediplomski specijalistički studiji,"Pravni fakultet, Rijeka ",Sveučilište u Rijeci,1,RIJEKA,hrvatski jezik,klasično,sveučilišni/ a specijalist/ specijalistica prava europskih integracija,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,120,Menadžment trgovine i turizma,1860,stručni,specijalistički diplomski stručni studij,Sveučilište u Splitu Sveučilišni odjel za stručne studije ,Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično,stručni/a specijalist/ specijalistica ekonomije,Javno
5.02.  DRUŠTVENE ZNANOSTI / Pravo,120,Športsko pravo,1861,sveučilišni,poslijediplomski specijalistički studiji,"Pravni fakultet, Split",Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično,sveučilišni/ a specijalist/ specijalistica športskog prava,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,120,Računovodstvo i financije,1862,stručni,specijalistički diplomski stručni studij,Sveučilište u Splitu Sveučilišni odjel za stručne studije ,Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično,stručni/a specijalist/ specijalistica računovodstva i financija,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,90,Menadžment u turizmu i ugostiteljstvu,1863,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet za menadžment u turizmu i ugostiteljstvu, Opatija ",Sveučilište u Rijeci,1.5,OPATIJA,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica menadžmenta u turizmu i ugostiteljstvu,Javno
2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport,120,Pomorstvo,1864,sveučilišni,diplomski sveučilišni studij,Sveučilište u Dubrovniku,Sveučilište u Dubrovniku,2,DUBROVNIK,hrvatski jezik,klasično,magistar/magistra inženjer/ inženjerka pomorskog prometa,Javno
5.04.  DRUŠTVENE ZNANOSTI / Informacijske i komunikacijske znanosti,120,IT menadžment,1865,stručni,specijalistički diplomski stručni studij,"Veleučilište VERN, Zagreb","Veleučilište VERN, Zagreb",2,ZAGREB,hrvatski jezik,klasično,stručni specijalist/specijalistica IT managementa,Privatno 
7.09.  UMJETNIČKO PODRUČJE / Interdisciplinarno umjetničko polje,120,"Gluma, mediji i kultura ",1868,sveučilišni,poslijediplomski specijalistički studiji,Akademija primijenjenih umjetnosti u Rijeci,Sveučilište u Rijeci,2,RIJEKA,hrvatski jezik,klasično,"sveučilišni/a specijalist/specijalistica glume, medija, kulture",Javno
5.13.  DRUŠTVENE ZNANOSTI / Sigurnosne i obrambene znanosti,90,Kriminalističko istraživanje,1869,sveučilišni,poslijediplomski specijalistički studiji,Sveučilište u Rijeci,Sveučilište u Rijeci,1.5,RIJEKA,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica kriminalističkog istraživanja,Javno
5.02.  DRUŠTVENE ZNANOSTI / Pravo,120,Javna uprava,1871,stručni,specijalistički diplomski stručni studij,"Pravni fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,stručni/a specijalist/ specijalistica javne uprave,Javno
2.05.  TEHNIČKE ZNANOSTI / Građevinarstvo,120,"Građevinarstvo; smjer: Vođenje građenja, nadzor i održavanje građevina",1872,stručni,specijalistički diplomski stručni studij,Građevinski i arhitektonski fakultet Osijek,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,"stručni/ a specijalist/ specijalistica inženjer/ inženjerka građevinarstva za vođenje građenja, nadzor i održavanje građevina",Javno
3.06  BIOMEDICINA I ZDRAVSTVO / Farmacija,60,Razvoj lijekova,1876,sveučilišni,poslijediplomski specijalistički studiji,"Farmaceutsko-biokemijski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra razvoja lijekova,Javno
5.02.  DRUŠTVENE ZNANOSTI / Pravo,120,Medicinsko pravo,1878,sveučilišni,poslijediplomski specijalistički studiji,"Pravni fakultet, Split",Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica medicinskog prava,Javno
2.08.  TEHNIČKE ZNANOSTI / Metalurgija,150,Ljevarstvo,1880,stručni,kratki stručni studij,"Metalurški fakultet, Sisak",Sveučilište u Zagrebu,2.5,SISAK,hrvatski jezik,klasično,stručni/a pristupnik/pristupnica ljevarstva ,Javno
2.15.  TEHNIČKE ZNANOSTI / Temeljne tehničke znanosti,120,"Politehnika: smjerovi: Elektrotenika, Informacijske tehnologije, Strojarstvo",1881,stručni,specijalistički diplomski stručni studij,Sveučilište u Splitu Sveučilišni odjel za stručne studije ,Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično,stručni/a specijalist/ specijalistica inženjer/ inženjerka politehnike,Javno
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,180,Translacijska istraživanja u biomedicini,1882,sveučilišni,poslijediplomski sveučilišni studiji,"Medicinski fakultet, Split",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,"doktor/ doktorica znanosti, interdisciplinarna područja znanosti, odgovarajuće polje (određeno matičnom strukom)",Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,180,Radiološka tehnologija,1884,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Splitu Sveučilišni odjel zdravstvenih studija,Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) radiološke tehnologije,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,180,Primaljstvo,1885,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Splitu Sveučilišni odjel zdravstvenih studija,Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) primaljstva,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,180,Fizioterapija,1886,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Splitu Sveučilišni odjel zdravstvenih studija,Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) fizioterapije,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,180,Sestrinstvo,1887,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Splitu Sveučilišni odjel zdravstvenih studija,Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) sestrinstva,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,180,Medicinska laboratorijska dijagnostika,1888,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Splitu Sveučilišni odjel zdravstvenih studija,Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) medicinske laboratorijske dijagnostike,Javno
5.10.  DRUŠTVENE ZNANOSTI / Kineziologija,120,"Kineziologija; smjerovi: Sportski trener iz (naziv sporta), Rekreacija i fitnes, Kondicijska priprema sportaša, Kineziterapija",1889,stručni,specijalistički diplomski stručni studij,"Kineziološki fakultet, Split ",Sveučilište u Splitu,2,SPLIT,hrvatski jezik,on-line studij; klasično,stručni/a specijalist/specijalistica kineziologije,Javno
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,180,Europski studiji,1890,sveučilišni,poslijediplomski sveučilišni studiji,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,"doktor/ doktorica znanosti, interdisciplinarna područja znanosti, odgovarajuće polje (određeno matičnom strukom)",Javno
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,180,"Kulturologija; smjerovi: Kultura,umjetnost i književnost u europskom kontekstu, Informacija i komunikacija u kulturi, Menadžment u kulturi, umjetnosti i obrazovanju ",1891,sveučilišni,poslijediplomski sveučilišni studiji,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,"doktor/ doktorica znanosti, interdisciplinarna područja znanosti, odgovarajuće polje (određeno matičnom strukom)",Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Klinička epidemiologija,1892,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1,OSIJEK,hrvatski jezik,klasično,sveučilišni/a magistar/ magistra kliničke epidemiologije,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,"Anesteziologija, reanimatologija i intenzivna medicina",1893,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1,OSIJEK,hrvatski jezik,klasično,"sveučilišni/a magistar/ magistra anesteziologije, ranimatologije i intezivnog liječenja",Javno
6.10.  HUMANISTIČKE ZNANOSTI / Interdisciplinarne humanističke znanosti,180,Humanističke znanosti,1894,sveučilišni,poslijediplomski sveučilišni studiji,Sveučilište u Zadru,Sveučilište u Zadru,3,ZADAR,hrvatski jezik,klasično,"doktor/doktorica znanosti, područje humanističkih znanosti, odgovarajuće polje (određeno matičnom strukom)",Javno
6.02.  HUMANISTIČKE ZNANOSTI / Teologija,180,Protestantska teologija,1895,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Zagrebu,Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/ prvostupnica teologije,Javno
5.03.  DRUŠTVENE ZNANOSTI / Politologija,60,Sigurnosna politika Republike Hrvatske,1896,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet političkih znanosti, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/ a specijalist/ specijalistica za nacionalnu sigurnost,Javno
5.03.  DRUŠTVENE ZNANOSTI / Politologija,60,Vanjska politika i diplomacija,1897,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet političkih znanosti, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/ a specijalist/ specijalistica za vanjsku politiku i diplomaciju,Javno
5.04.  DRUŠTVENE ZNANOSTI / Informacijske i komunikacijske znanosti,60,Odnosi s javnošću,1899,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet političkih znanosti, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica iz odnosa s javnošću,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,Poslovanje i upravljanje,1900,stručni,preddiplomski stručni studij,Veleučilište s pravom javnosti Baltazar Zaprešić ,Veleučilište s pravom javnosti Baltazar Zaprešić ,3,ZAPREŠIĆ,hrvatski jezik,klasično,stručni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije,Privatno 
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,120,Sestrinstvo,1901,sveučilišni,diplomski sveučilišni studij,Sveučilište u Splitu Sveučilišni odjel zdravstvenih studija,Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično,magistar/ magistra sestrinstva,Javno
1.04.  PRIRODNE ZNANOSTI / Kemija,180,Kemija mediteranskog okoliša,1902,sveučilišni,poslijediplomski sveučilišni studiji,"Kemijsko-tehnološki fakultet, Split ",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,"doktor/doktorica znanosti, područje prirodnih znanosti, polje kemija",Javno
5.07.  DRUŠTVENE ZNANOSTI / Pedagogija,120,Pedagogija (jednopredmetni) u dijelu radnog vremena,1904,sveučilišni,diplomski sveučilišni studij,"Filozofski fakultet, Rijeka ",Sveučilište u Rijeci,2,RIJEKA,hrvatski jezik,klasično,magistar/magistra pedagogije,Javno
3.06  BIOMEDICINA I ZDRAVSTVO / Farmacija,60,Fitofarmacija s dijetoterapijom,1905,sveučilišni,poslijediplomski specijalistički studiji,"Farmaceutsko-biokemijski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/ a magistar/ magistra fitofarmacije s dijetoterapijom,Javno
2.16.  TEHNIČKE ZNANOSTI / Interdisciplinarne tehničke znanosti,180,Održivi razvoj,1907,stručni,preddiplomski stručni studij,Međimursko veleučilište u Čakovcu,Međimursko veleučilište u Čakovcu,3,ČAKOVEC,hrvatski jezik,klasično,stručni/na prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) inženjer/ inženjerka održivog razvoja,Javno
2.09.  TEHNIČKE ZNANOSTI / Računarstvo,180,Multimedijsko računarstvo,1908,stručni,preddiplomski stručni studij,"Visoko učilište Algebra, Zagreb ","Visoko učilište Algebra, Zagreb ",3,ZAGREB,hrvatski jezik,klasično,stručni/a prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) inženjer/ inženjerka multimedijskog računarstva,Privatno 
6.10.  HUMANISTIČKE ZNANOSTI / Interdisciplinarne humanističke znanosti,180,Humanističke znanosti ,1909,sveučilišni,poslijediplomski sveučilišni studiji,Filozofski fakultet u Splitu,Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,"doktor/ doktorica znanosti, područje humanističkih znanosti, polje interdisciplinarne humanističke znanosti",Javno
3.03.  BIOMEDICINA I ZDRAVSTVO / Javno zdravstvo i zdravstvena zaštita,90,Promocija zdravlja i prevencija ovisnosti,1911,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Rijeka ",Sveučilište u Rijeci,1.5,RIJEKA,hrvatski jezik,zajednički studij,sveučilišni/a magistar/ magistrica promocije zdravlja i prevencije ovisnosti,Javno
3.03.  BIOMEDICINA I ZDRAVSTVO / Javno zdravstvo i zdravstvena zaštita,90,Promocija zdravlja i prevencija ovisnosti,1911,sveučilišni,poslijediplomski specijalistički studiji,"Filozofski fakultet, Rijeka ",Sveučilište u Rijeci,1.5,RIJEKA,hrvatski jezik,zajednički studij,sveučilišni/a magistar/ magistrica promocije zdravlja i prevencije ovisnosti,Javno
6.04.  HUMANISTIČKE ZNANOSTI / Povijest,180,Jadran - poveznica među kontinentima,1912,sveučilišni,poslijediplomski sveučilišni studiji,Sveučilište u Zadru,Sveučilište u Zadru,3,ZADAR,hrvatski jezik,klasično,"doktor/doktorica znanosti područje humanističkih znanosti, polje povijest; doktor/doktorica znanosti, interdisciplinarna područja znanosti, polje geografija ",Javno
5.02.  DRUŠTVENE ZNANOSTI / Pravo,120,Upravni studij,1913,stručni,specijalistički diplomski stručni studij,"Pravni fakultet, Split",Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično,stručni/a specijalist/ specijalistica javne uprave,Javno
6.03.  HUMANISTIČKE ZNANOSTI / Filologija,60,Poslijediplomski specijalistički studij Prevođenja,1914,sveučilišni,poslijediplomski specijalistički studiji,"Filozofski fakultet, Rijeka ",Sveučilište u Rijeci,1,RIJEKA,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica prevođenja,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Ekonomija energetskog sektora-MBA,1915,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Rijeka ",Sveučilište u Rijeci,1,RIJEKA,hrvatski jezik,klasično,sveučilišni/ a specijalist/ specijalistica ekonomije energetskog sektora,Javno
5.02.  DRUŠTVENE ZNANOSTI / Pravo,180,"PDS iz područja društvenih znanosti, polje pravo",1916,sveučilišni,poslijediplomski sveučilišni studiji,"Pravni fakultet, Rijeka ",Sveučilište u Rijeci,3,RIJEKA,hrvatski jezik,klasično,"doktor/ doktorica znanosti, područje društvenih znanosti, polje pravo",Javno
8.05.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI / Obrazovne znanosti,180,Istraživanje u edukaciji u području prirodnih i tehničkih znanosti,1917,sveučilišni,poslijediplomski sveučilišni studiji,"Prirodoslovno-matematički fakultet, Split",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,"doktor/doktorica znanosti, interdisciplinarna područje zannoasti, polje obrazovne znanosti",Javno
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,120,Zdravstveni turizam,1918,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet za menadžment u turizmu i ugostiteljstvu, Opatija ",Sveučilište u Rijeci,2,OPATIJA,hrvatski jezik,zajednički studij,sveučilišni/a specijalist/ specijalistica zdravstvenog turizma,Javno
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,120,Zdravstveni turizam,1918,sveučilišni,poslijediplomski specijalistički studiji,"Filozofski fakultet, Rijeka ",Sveučilište u Rijeci,2,RIJEKA,hrvatski jezik,zajednički studij,sveučilišni/a specijalist/ specijalistica zdravstvenog turizma,Javno
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,120,Zdravstveni turizam,1918,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Rijeka ",Sveučilište u Rijeci,2,RIJEKA,hrvatski jezik,zajednički studij,sveučilišni/a specijalist/ specijalistica zdravstvenog turizma,Javno
6.03.  HUMANISTIČKE ZNANOSTI / Filologija,180,Talijanski jezik i književnost (dvopredmetni),1921,sveučilišni,preddiplomski sveučilišni studij,"Filozofski fakultet, Rijeka ",Sveučilište u Rijeci,3,RIJEKA,hrvatski jezik,klasično,sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) talijanskog jezika i književnosti,Javno
5.05.  DRUŠTVENE ZNANOSTI / Sociologija,180,Sociologija lokalnog i regionalnog razvoja,1924,sveučilišni,poslijediplomski sveučilišni studiji,Sveučilište u Zadru,Sveučilište u Zadru,3,ZADAR,hrvatski jezik,združeni studij,"doktor/ doktorica znanosti, područje društvenih znanosti, polje sociologija",Javno
2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika,90,Elektroenergetske mreže u tržišnom okruženju,1926,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet elektrotehnike, računarstva i informacijskih tehnologija Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1.5,OSIJEK,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica elektroenergetskih mreža u tržišnom okruženju,Javno
7.03.  UMJETNIČKO PODRUČJE / Glazbena umjetnost,240,Klavir,1928,sveučilišni,preddiplomski sveučilišni studij,Sveučilište Jurja Dobrile u Puli ,Sveučilište Jurja Dobrile u Puli ,4,PULA,hrvatski jezik,klasično,sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) muzike,Javno
7.03.  UMJETNIČKO PODRUČJE / Glazbena umjetnost,240,Solo pjevanje,1929,sveučilišni,preddiplomski sveučilišni studij,Sveučilište Jurja Dobrile u Puli ,Sveučilište Jurja Dobrile u Puli ,4,PULA,hrvatski jezik,klasično,sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) muzike,Javno
