PPG,ECTS,Naziv,Sifra,TipSP,VrstaSP,Izvodjac,Nositelj,Trajanje,IzvodjacMjesto,JezikIzvođenja,NacinIzvođenja,Akademski_stupanj,Vrsta_ustanove_nositelja
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),60,Fitomedicina,2466,sveučilišni,poslijediplomski specijalistički studiji,"Agronomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica fitomedicine ,Javno
5.13.  DRUŠTVENE ZNANOSTI / Sigurnosne i obrambene znanosti,60,Vojno vođenje i upravljanje ,2468,sveučilišni,diplomski sveučilišni studij,"Fakultet kemijskog inženjerstva i tehnologije, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,zajednički studij,magistar/magistra vojnog vođenja i upravljanja,Javno
5.13.  DRUŠTVENE ZNANOSTI / Sigurnosne i obrambene znanosti,60,Vojno vođenje i upravljanje ,2468,sveučilišni,diplomski sveučilišni studij,"Fakultet organizacije i informatike, Varaždin",Sveučilište u Zagrebu,1,VARAŽDIN,hrvatski jezik,zajednički studij,magistar/magistra vojnog vođenja i upravljanja,Javno
5.13.  DRUŠTVENE ZNANOSTI / Sigurnosne i obrambene znanosti,60,Vojno vođenje i upravljanje ,2468,sveučilišni,diplomski sveučilišni studij,"Fakultet političkih znanosti, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,zajednički studij,magistar/magistra vojnog vođenja i upravljanja,Javno
5.13.  DRUŠTVENE ZNANOSTI / Sigurnosne i obrambene znanosti,60,Vojno vođenje i upravljanje ,2468,sveučilišni,diplomski sveučilišni studij,"Fakultet prometnih znanosti, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,zajednički studij,magistar/magistra vojnog vođenja i upravljanja,Javno
5.13.  DRUŠTVENE ZNANOSTI / Sigurnosne i obrambene znanosti,60,Vojno vođenje i upravljanje ,2468,sveučilišni,diplomski sveučilišni studij,"Stomatološki fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,zajednički studij,magistar/magistra vojnog vođenja i upravljanja,Javno
2.16.  TEHNIČKE ZNANOSTI / Interdisciplinarne tehničke znanosti,60,Vojno inženjerstvo ,2469,sveučilišni,diplomski sveučilišni studij,"Fakultet političkih znanosti, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,zajednički studij,magistr/magistra inženjer/inženjerka vojnog inženjerstva,Javno
2.16.  TEHNIČKE ZNANOSTI / Interdisciplinarne tehničke znanosti,60,Vojno inženjerstvo ,2469,sveučilišni,diplomski sveučilišni studij,"Fakultet organizacije i informatike, Varaždin",Sveučilište u Zagrebu,1,VARAŽDIN,hrvatski jezik,zajednički studij,magistr/magistra inženjer/inženjerka vojnog inženjerstva,Javno
2.16.  TEHNIČKE ZNANOSTI / Interdisciplinarne tehničke znanosti,60,Vojno inženjerstvo ,2469,sveučilišni,diplomski sveučilišni studij,"Fakultet strojarstva i brodogradnje, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,zajednički studij,magistr/magistra inženjer/inženjerka vojnog inženjerstva,Javno
2.16.  TEHNIČKE ZNANOSTI / Interdisciplinarne tehničke znanosti,60,Vojno inženjerstvo ,2469,sveučilišni,diplomski sveučilišni studij,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,zajednički studij,magistr/magistra inženjer/inženjerka vojnog inženjerstva,Javno
2.16.  TEHNIČKE ZNANOSTI / Interdisciplinarne tehničke znanosti,60,Vojno inženjerstvo ,2469,sveučilišni,diplomski sveučilišni studij,"Stomatološki fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,zajednički studij,magistr/magistra inženjer/inženjerka vojnog inženjerstva,Javno
6.03.  HUMANISTIČKE ZNANOSTI / Filologija,60,Primijenjena kroatistika ,2471,sveučilišni,poslijediplomski specijalistički studiji,"Filozofski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica primijenjene kroatistike,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Kardiologija ,2472,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1,OSIJEK,hrvatski jezik,klasično,sveučilišni/a magistar/magistra kardiologije ,Javno
2.11.  TEHNIČKE ZNANOSTI / Strojarstvo,120,Strojarstvo ,2473,stručni,specijalistički diplomski stručni studij,Tehničko veleučilište u Zagrebu,Tehničko veleučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,stručni/a specijalist/ specijalistica inženjer/inženjerka strojarstva,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,"Poslovna ekonomija, smjer: Marketing na engleskom jeziku",2474,sveučilišni,diplomski sveučilišni studij,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,engleski jezik,klasično,magistar/magistra ekonomije ,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,"Poslovna ekonomija, smjer: Management na engleskom jeziku",2475,sveučilišni,diplomski sveučilišni studij,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,engleski jezik,klasično,magistar/magistra ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,"Poslovna ekonomija, smjer: Menadžerska informatika na engleskom jeziku",2476,sveučilišni,diplomski sveučilišni studij,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,engleski jezik,klasično,magistar/magistra ekonomije ,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,"Poslovna ekonomija, smjer Trgovina na engleskom jeziku",2477,sveučilišni,diplomski sveučilišni studij,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,engleski jezik,klasično,magistar/magistra ekonomije ,Javno
